Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Naess, Espen; Thambawita, Vajira; Hicks, Steven A; Riegler, Michael A; Halvorsen, Paal; ",Pyramidal segmentation of medical images using adversarial training,Proceedings of the 2021 ACM Workshop on Intelligent Cross-Data Analysis and Retrieval,,,33-38,2021,
"Thambawita, Vajira; Haugen, Trine B; Stensen, Mette Haug; Witczak, Oliwia; Hammer, Hugo L; Halvorsen, Pal; Riegler, Michael A; ",Identification of spermatozoa by unsupervised learning from video data,HUMAN REPRODUCTION,36,,150-151,2021,"OXFORD UNIV PRESS GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND"
"Li, Dingquan; Jiang, Tingting; Jiang, Ming; Thambawita, Vajira Lasantha; Wang, Haoliang; ",Reproducibility companion paper: Norm-in-norm loss with faster convergence and better performance for image quality assessment,Proceedings of the 29th ACM International Conference on Multimedia,,,3615-3618,2021,
"Hicks, Steven; Jha, Debesh; Thambawita, Vajira; Halvorsen, Pål; Singstad, Bjørn-Jostein; Gaur, Sachin; Pettersen, Klas; Goodwin, Morten; Parasa, Sravanthi; de Lange, Thomas; ",Medai: Transparency in medical image segmentation,Nordic Machine Intelligence,1,1,1-4,2021,
"Strümke, Inga; Hicks, Steven A; Thambawita, Vajira; Jha, Debesh; Parasa, Sravanthi; Riegler, Michael A; Halvorsen, Pål; ",Artificial Intelligence in Medicine: Gastroenterology,Artificial Intelligence in Medicine,,,1-20,2021,Springer International Publishing Cham
"Thambawita, Vajira; Isaksen, Jonas L; Hicks, Steven A; Ghouse, Jonas; Ahlberg, Gustav; Linneberg, Allan; Grarup, Niels; Ellervik, Christina; Olesen, Morten Salling; Hansen, Torben; ",DeepFake electrocardiograms using generative adversarial networks are the beginning of the end for privacy issues in medicine,Scientific reports,11,1,21896,2021,Nature Publishing Group UK London
"Thambawita, Vajira; Strümke, Inga; Hicks, Steven A; Halvorsen, Pål; Parasa, Sravanthi; Riegler, Michael A; ",Impact of image resolution on deep learning performance in endoscopy image classification: An experimental study using a large dataset of endoscopic images,Diagnostics,11,12,2183,2021,MDPI
"Valand, Joakim Olav; Kadragic, Haris; Hicks, Steven Alexander; Thambawita, Vajira Lasantha; Midoglu, Cise; Kupka, Tomas; Johansen, Dag; Riegler, Michael Alexander; Halvorsen, Pål; ",Ai-based video clipping of soccer events,Machine Learning and Knowledge Extraction,3,4,990-1008,2021,MDPI
"Nergård Rongved, Olav Andre; Stige, Markus; Hicks, Steven Alexander; Thambawita, Vajira Lasantha; Midoglu, Cise; Zouganeli, Evi; Johansen, Dag; Riegler, Michael Alexander; Halvorsen, Pål; ",Automated event detection and classification in soccer: The potential of using multiple modalities,Machine Learning and Knowledge Extraction,3,4,1030-1054,2021,MDPI
"Valand, Joakim O; Kadragic, Haris; Hicks, Steven A; Thambawita, Vajira; Midoglu, Cise; Kupka, Tomas; Johansen, Dag; Riegler, Michael A; Halvorsen, Pål; ",Automated clipping of soccer events using machine learning,2021 IEEE International Symposium on Multimedia (ISM),,,210-214,2021,IEEE
"Khadka, Rabindra; Jha, Debesh; Hicks, Steven; Thambawita, Vajira; Riegler, Michael A; Ali, Sharib; Halvorsen, Pål; ",Meta-learning with implicit gradients in a few-shot setting for medical image segmentation,Computers in Biology and Medicine,143,,105227,2022,Pergamon
"Midoglu, Cise; Hicks, Steven A; Thambawita, Vajira; Kupka, Tomas; Halvorsen, Pål; ",MMSys' 22 Grand Challenge on AI-based Video Production for Soccer,arXiv preprint arXiv:2202.01031,,,,2022,
"Ali, Sharib; Ghatwary, Noha; Jha, Debesh; Isik-Polat, Ece; Polat, Gorkem; Yang, Chen; Li, Wuyang; Galdran, Adrian; Ballester, Miguel-Ángel González; Thambawita, Vajira; ",Assessing generalisability of deep learning-based polyp detection and segmentation methods through a computer vision challenge,Scientific Reports,14,1,2032,2024,Nature Publishing Group UK London
"Fraire-Zamora, Juan J; Ali, Zoya Enakshi; Makieva, Sofia; Massarotti, Claudia; Kohlhepp, Florian; Liperis, George; Perugini, Michelle; Thambawita, Vajira; Mincheva, Mina; ",# ESHREjc report: on the road to preconception and personalized counselling with machine learning models,Human Reproduction,37,8,1955-1957,2022,Oxford University Press
"Fagereng, Jan Andre; Thambawita, Vajira; Storås, Andrea M; Parasa, Sravanthi; De Lange, Thomas; Halvorsen, Pål; Riegler, Michael A; ",PolypConnect: Image inpainting for generating realistic gastrointestinal tract images with polyps,2022 IEEE 35th International Symposium on Computer-Based Medical Systems (CBMS),,,66-71,2022,IEEE
"Torpmann-Hagen, Birk; Thambawita, Vajira; Riegler, Michael A; Halvorsen, Pål; Glette, Kyrre; ",Segmentation Consistency Training: Out-of-Distribution Generalization for Medical Image Segmentation,2022 IEEE International Symposium on Multimedia (ISM),,,42-49,2022,IEEE
"Monakhov, Vladimir; Thambawita, Vajira; Halvorsen, Pål; Riegler, Michael A; ",Grid HTM: Hierarchical Temporal Memory for Anomaly Detection in Videos,arXiv preprint arXiv:2205.15407,,,,2022,
"Salehi, Pegah; Hassan, Syed Zohaib; Lammerse, Myrthe; Sabet, Saeed Shafiee; Riiser, Ingvild; Røed, Ragnhild Klingenberg; Johnson, Miriam S; Thambawita, Vajira; Hicks, Steven A; Powell, Martine; ",Synthesizing a talking child avatar to train interviewers working with maltreated children,Big Data and Cognitive Computing,6,2,62,2022,MDPI
